06-Nov-2023 16:08:37.025 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: init: Associated with Deployer 'Catalina:type=Deployer,host=localhost'
06-Nov-2023 16:08:37.025 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: init: Global resources are available
06-Nov-2023 16:08:37.030 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-session'
06-Nov-2023 16:08:37.030 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\userg\eclipse-workspace\JavaEE\apache-tomcat-10.1.15-windows-x64\apache-tomcat-10.1.15\webapps\webapp-session.war.tmp
06-Nov-2023 16:20:17.434 INFO [http-nio-8080-exec-13] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-session'
06-Nov-2023 16:20:17.434 INFO [http-nio-8080-exec-13] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\userg\eclipse-workspace\JavaEE\apache-tomcat-10.1.15-windows-x64\apache-tomcat-10.1.15\webapps\webapp-session.war.tmp
06-Nov-2023 16:21:06.009 INFO [http-nio-8080-exec-14] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-session'
06-Nov-2023 16:21:06.009 INFO [http-nio-8080-exec-14] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\userg\eclipse-workspace\JavaEE\apache-tomcat-10.1.15-windows-x64\apache-tomcat-10.1.15\webapps\webapp-session.war.tmp
06-Nov-2023 16:24:59.755 INFO [http-nio-8080-exec-28] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-session'
06-Nov-2023 16:24:59.755 INFO [http-nio-8080-exec-28] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\userg\eclipse-workspace\JavaEE\apache-tomcat-10.1.15-windows-x64\apache-tomcat-10.1.15\webapps\webapp-session.war.tmp
06-Nov-2023 16:30:09.579 INFO [http-nio-8080-exec-36] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-session'
06-Nov-2023 16:30:09.579 INFO [http-nio-8080-exec-36] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\userg\eclipse-workspace\JavaEE\apache-tomcat-10.1.15-windows-x64\apache-tomcat-10.1.15\webapps\webapp-session.war.tmp
06-Nov-2023 16:51:24.105 INFO [http-nio-8080-exec-46] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-session'
06-Nov-2023 16:51:24.105 INFO [http-nio-8080-exec-46] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\userg\eclipse-workspace\JavaEE\apache-tomcat-10.1.15-windows-x64\apache-tomcat-10.1.15\webapps\webapp-session.war.tmp
06-Nov-2023 16:53:20.464 INFO [http-nio-8080-exec-56] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-session'
06-Nov-2023 16:53:20.464 INFO [http-nio-8080-exec-56] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\userg\eclipse-workspace\JavaEE\apache-tomcat-10.1.15-windows-x64\apache-tomcat-10.1.15\webapps\webapp-session.war.tmp
06-Nov-2023 16:54:50.595 INFO [http-nio-8080-exec-66] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-session'
06-Nov-2023 16:54:50.595 INFO [http-nio-8080-exec-66] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\userg\eclipse-workspace\JavaEE\apache-tomcat-10.1.15-windows-x64\apache-tomcat-10.1.15\webapps\webapp-session.war.tmp
