2023-12-28 11:50:01,329 WARN  [org.jboss.weld.Servlet] (default task-9) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@738b592b when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 11:50:01,847 WARN  [org.jboss.weld.Conversation] (default task-9) WELD-000335: Conversation context is already active, most likely it was not cleaned up properly during previous request processing: HttpServletRequestImpl [ GET /webapp-jsf3-jaas/resources/img/athletic.png ]
2023-12-28 11:50:04,768 WARN  [org.jboss.weld.Servlet] (default task-9) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@738b592b when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 11:50:09,663 WARN  [org.jboss.weld.Conversation] (default task-9) WELD-000335: Conversation context is already active, most likely it was not cleaned up properly during previous request processing: HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 11:50:09,675 WARN  [org.jboss.weld.Servlet] (default task-9) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@738b592b when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 12:04:41,590 INFO  [org.jboss.as.repository] (management-handler-thread - 2) WFLYDR0001: Content added at location C:\Users\userg\eclipse-workspace\JavaEE\wildfly-preview-30.0.1.Final\standalone\data\content\2b\5f35b9f9e760232e013d507772ce37700be7a1\content
2023-12-28 12:04:41,597 INFO  [org.wildfly.extension.undertow] (ServerService Thread Pool -- 169) WFLYUT0022: Unregistered web context: '/webapp-jsf3-jaas' from server 'default-server'
2023-12-28 12:04:41,609 INFO  [org.jboss.as.jpa] (ServerService Thread Pool -- 184) WFLYJPA0011: Stopping Persistence Unit (phase 2 of 2) Service 'webapp-jsf3-jaas.war#ejemploJpa'
2023-12-28 12:04:41,609 INFO  [org.hibernate.orm.beans] (ServerService Thread Pool -- 184) HHH10005004: Stopping BeanContainer : org.hibernate.resource.beans.container.internal.CdiBeanContainerExtendedAccessImpl@61ce383e
2023-12-28 12:04:41,610 INFO  [org.jboss.as.jpa] (ServerService Thread Pool -- 184) WFLYJPA0011: Stopping Persistence Unit (phase 1 of 2) Service 'webapp-jsf3-jaas.war#ejemploJpa'
2023-12-28 12:04:41,673 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-1) WFLYSRV0028: Stopped deployment webapp-jsf3-jaas.war (runtime-name: webapp-jsf3-jaas.war) in 76ms
2023-12-28 12:04:41,674 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-8) WFLYSRV0027: Starting deployment of "webapp-jsf3-jaas.war" (runtime-name: "webapp-jsf3-jaas.war")
2023-12-28 12:04:42,021 INFO  [org.jboss.as.jpa] (MSC service thread 1-7) WFLYJPA0002: Read persistence.xml for ejemploJpa
2023-12-28 12:04:42,079 INFO  [org.jipijapa] (MSC service thread 1-8) JIPIORMV6020260: Second level cache enabled for webapp-jsf3-jaas.war#ejemploJpa
2023-12-28 12:04:42,094 INFO  [org.infinispan.CONTAINER] (ServerService Thread Pool -- 184) ISPN000556: Starting user marshaller 'org.wildfly.clustering.infinispan.marshalling.jboss.JBossMarshaller'
2023-12-28 12:04:42,152 INFO  [org.jboss.weld.deployer] (MSC service thread 1-7) WFLYWELD0003: Processing weld deployment webapp-jsf3-jaas.war
2023-12-28 12:04:42,162 INFO  [org.jboss.as.jpa] (ServerService Thread Pool -- 184) WFLYJPA0010: Starting Persistence Unit (phase 1 of 2) Service 'webapp-jsf3-jaas.war#ejemploJpa'
2023-12-28 12:04:42,162 INFO  [org.hibernate.jpa.internal.util.LogHelper] (ServerService Thread Pool -- 184) HHH000204: Processing PersistenceUnitInfo [name: ejemploJpa]
2023-12-28 12:04:42,182 WARN  [org.hibernate.orm.deprecation] (ServerService Thread Pool -- 184) HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2023-12-28 12:04:42,183 WARN  [org.hibernate.orm.deprecation] (ServerService Thread Pool -- 184) HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2023-12-28 12:04:42,186 INFO  [org.jboss.as.ejb3.deployment] (MSC service thread 1-7) WFLYEJB0473: JNDI bindings for session bean named 'ProductoServiceImpl' in deployment unit 'deployment "webapp-jsf3-jaas.war"' are as follows:

	java:global/webapp-jsf3-jaas/ProductoServiceImpl!org.aartaraz.webapp.jsf3.services.ProductoService
	java:app/webapp-jsf3-jaas/ProductoServiceImpl!org.aartaraz.webapp.jsf3.services.ProductoService
	java:module/ProductoServiceImpl!org.aartaraz.webapp.jsf3.services.ProductoService
	java:global/webapp-jsf3-jaas/ProductoServiceImpl
	java:app/webapp-jsf3-jaas/ProductoServiceImpl
	java:module/ProductoServiceImpl

2023-12-28 12:04:42,189 INFO  [org.hibernate.envers.boot.internal.EnversServiceImpl] (ServerService Thread Pool -- 184) Envers integration enabled? : true
2023-12-28 12:04:42,231 INFO  [org.wildfly.extension.micrometer] (MSC service thread 1-7) WFLYMMTREXT0002: Micrometer Subsystem is processing deployment
2023-12-28 12:04:42,260 INFO  [org.jipijapa] (MSC service thread 1-5) JIPIORMV6020260: Second level cache enabled for webapp-jsf3-jaas.war#ejemploJpa
2023-12-28 12:04:42,434 INFO  [org.jboss.as.jpa] (ServerService Thread Pool -- 184) WFLYJPA0010: Starting Persistence Unit (phase 2 of 2) Service 'webapp-jsf3-jaas.war#ejemploJpa'
2023-12-28 12:04:42,663 INFO  [jakarta.enterprise.resource.webcontainer.faces.config] (ServerService Thread Pool -- 199) Inicializando Mojarra 4.0.4 para el contexto '/webapp-jsf3-jaas'
2023-12-28 12:04:43,079 INFO  [org.primefaces.webapp.PostConstructApplicationEventListener] (ServerService Thread Pool -- 199) Running on PrimeFaces 12.0.0
2023-12-28 12:04:43,080 INFO  [org.wildfly.extension.undertow] (ServerService Thread Pool -- 199) WFLYUT0021: Registered web context: '/webapp-jsf3-jaas' for server 'default-server'
2023-12-28 12:04:43,129 INFO  [org.jboss.as.server] (management-handler-thread - 2) WFLYSRV0016: Replaced deployment "webapp-jsf3-jaas.war" with deployment "webapp-jsf3-jaas.war"
2023-12-28 12:04:43,133 INFO  [org.jboss.as.repository] (management-handler-thread - 2) WFLYDR0002: Content removed from location C:\Users\userg\eclipse-workspace\JavaEE\wildfly-preview-30.0.1.Final\standalone\data\content\59\ccc85629e1131c892ec3647059960eaf302d52\content
2023-12-28 12:04:47,071 WARN  [org.jboss.weld.Servlet] (default task-9) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@3c81e236 when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 12:04:48,456 WARN  [org.jboss.weld.Conversation] (default task-9) WELD-000335: Conversation context is already active, most likely it was not cleaned up properly during previous request processing: HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 12:04:48,465 WARN  [org.jboss.weld.Servlet] (default task-9) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@3c81e236 when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 12:04:56,231 WARN  [org.jboss.weld.Conversation] (default task-9) WELD-000335: Conversation context is already active, most likely it was not cleaned up properly during previous request processing: HttpServletRequestImpl [ GET /webapp-jsf3-jaas ]
2023-12-28 12:04:56,716 INFO  [stdout] (default task-9) Hibernate: select p1_0.id,p1_0.categoria_id,c1_0.id,c1_0.nombre,p1_0.fecha_registro,p1_0.nombre,p1_0.precio,p1_0.sku from productos p1_0 left join categorias c1_0 on c1_0.id=p1_0.categoria_id
2023-12-28 12:04:56,880 WARN  [org.jboss.weld.Servlet] (default task-3) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@3c81e236 when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 12:04:56,885 WARN  [org.jboss.weld.Servlet] (default task-9) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@3c81e236 when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 12:04:56,890 WARN  [org.jboss.weld.Servlet] (default task-12) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@3c81e236 when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 12:05:03,882 WARN  [org.jboss.weld.Conversation] (default task-12) WELD-000335: Conversation context is already active, most likely it was not cleaned up properly during previous request processing: HttpServletRequestImpl [ GET /webapp-jsf3-jaas/index.jsf ]
2023-12-28 12:05:03,898 INFO  [stdout] (default task-12) Hibernate: select p1_0.id,p1_0.categoria_id,c1_0.id,c1_0.nombre,p1_0.fecha_registro,p1_0.nombre,p1_0.precio,p1_0.sku from productos p1_0 left join categorias c1_0 on c1_0.id=p1_0.categoria_id
2023-12-28 12:05:03,952 WARN  [org.jboss.weld.Conversation] (default task-9) WELD-000335: Conversation context is already active, most likely it was not cleaned up properly during previous request processing: HttpServletRequestImpl [ GET /webapp-jsf3-jaas/jakarta.faces.resource/inputmask/inputmask.js.jsf ]
2023-12-28 12:05:03,953 WARN  [org.jboss.weld.Conversation] (default task-3) WELD-000335: Conversation context is already active, most likely it was not cleaned up properly during previous request processing: HttpServletRequestImpl [ GET /webapp-jsf3-jaas/jakarta.faces.resource/datepicker/datepicker.js.jsf ]
2023-12-28 12:05:03,978 WARN  [org.jboss.weld.Servlet] (default task-9) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@3c81e236 when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 12:05:03,980 WARN  [org.jboss.weld.Servlet] (default task-12) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@3c81e236 when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 12:05:03,994 WARN  [org.jboss.weld.Servlet] (default task-3) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@3c81e236 when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 12:06:57,026 INFO  [org.jboss.as.repository] (management-handler-thread - 2) WFLYDR0001: Content added at location C:\Users\userg\eclipse-workspace\JavaEE\wildfly-preview-30.0.1.Final\standalone\data\content\95\cd30ac35d97314bd521d80d185df3b7a812a0d\content
2023-12-28 12:06:57,035 INFO  [org.wildfly.extension.undertow] (ServerService Thread Pool -- 199) WFLYUT0022: Unregistered web context: '/webapp-jsf3-jaas' from server 'default-server'
2023-12-28 12:06:57,046 INFO  [org.jboss.as.jpa] (ServerService Thread Pool -- 205) WFLYJPA0011: Stopping Persistence Unit (phase 2 of 2) Service 'webapp-jsf3-jaas.war#ejemploJpa'
2023-12-28 12:06:57,047 INFO  [org.hibernate.orm.beans] (ServerService Thread Pool -- 205) HHH10005004: Stopping BeanContainer : org.hibernate.resource.beans.container.internal.CdiBeanContainerExtendedAccessImpl@48e9f010
2023-12-28 12:06:57,048 INFO  [org.jboss.as.jpa] (ServerService Thread Pool -- 205) WFLYJPA0011: Stopping Persistence Unit (phase 1 of 2) Service 'webapp-jsf3-jaas.war#ejemploJpa'
2023-12-28 12:06:57,103 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-4) WFLYSRV0028: Stopped deployment webapp-jsf3-jaas.war (runtime-name: webapp-jsf3-jaas.war) in 69ms
2023-12-28 12:06:57,106 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-5) WFLYSRV0027: Starting deployment of "webapp-jsf3-jaas.war" (runtime-name: "webapp-jsf3-jaas.war")
2023-12-28 12:06:57,422 INFO  [org.jboss.as.jpa] (MSC service thread 1-1) WFLYJPA0002: Read persistence.xml for ejemploJpa
2023-12-28 12:06:57,460 INFO  [org.jipijapa] (MSC service thread 1-6) JIPIORMV6020260: Second level cache enabled for webapp-jsf3-jaas.war#ejemploJpa
2023-12-28 12:06:57,474 INFO  [org.infinispan.CONTAINER] (ServerService Thread Pool -- 205) ISPN000556: Starting user marshaller 'org.wildfly.clustering.infinispan.marshalling.jboss.JBossMarshaller'
2023-12-28 12:06:57,479 INFO  [org.jboss.weld.deployer] (MSC service thread 1-2) WFLYWELD0003: Processing weld deployment webapp-jsf3-jaas.war
2023-12-28 12:06:57,498 INFO  [org.jboss.as.ejb3.deployment] (MSC service thread 1-2) WFLYEJB0473: JNDI bindings for session bean named 'ProductoServiceImpl' in deployment unit 'deployment "webapp-jsf3-jaas.war"' are as follows:

	java:global/webapp-jsf3-jaas/ProductoServiceImpl!org.aartaraz.webapp.jsf3.services.ProductoService
	java:app/webapp-jsf3-jaas/ProductoServiceImpl!org.aartaraz.webapp.jsf3.services.ProductoService
	java:module/ProductoServiceImpl!org.aartaraz.webapp.jsf3.services.ProductoService
	java:global/webapp-jsf3-jaas/ProductoServiceImpl
	java:app/webapp-jsf3-jaas/ProductoServiceImpl
	java:module/ProductoServiceImpl

